red,green
14783.0,19575.0
14744.0,19579.0
14720.0,19580.0
14713.0,19580.0
14716.0,19579.0
14722.0,19578.0
14727.0,19577.0
14754.0,19574.0
14796.0,19569.0
14830.0,19567.0
14870.0,19568.0
14864.0,19571.0
14810.0,19575.0
14746.0,19577.0
14737.0,19579.0
14698.0,19580.0
14693.0,19580.0
14702.0,19579.0
14705.0,19578.0
14731.0,19574.0
14773.0,19574.0
14844.0,19568.0
14868.0,19567.0
14876.0,19568.0
14847.0,19571.0
14800.0,19576.0
14746.0,19578.0
14703.0,19579.0
14713.0,19581.0
14701.0,19580.0
14716.0,19579.0
14726.0,19575.0
14765.0,19575.0
14812.0,19569.0
14861.0,19567.0
14875.0,19568.0
14857.0,19572.0
14809.0,19574.0
14750.0,19578.0
14725.0,19578.0
14718.0,19578.0
14700.0,19579.0
14711.0,19578.0
14723.0,19577.0
14732.0,19574.0
14785.0,19573.0
14838.0,19569.0
14862.0,19569.0
14864.0,19569.0
14818.0,19572.0
14790.0,19576.0
14734.0,19579.0
14708.0,19579.0
14700.0,19580.0
14717.0,19581.0
14711.0,19579.0
14734.0,19576.0
14751.0,19574.0
14816.0,19569.0
14854.0,19569.0
14874.0,19568.0
14856.0,19570.0
14791.0,19574.0
14756.0,19577.0
14747.0,19580.0
14709.0,19580.0
14712.0,19579.0
14705.0,19581.0
14727.0,19575.0
14745.0,19575.0
14794.0,19570.0
14833.0,19567.0
14871.0,19569.0
14858.0,19569.0
14840.0,19572.0
14788.0,19575.0
14739.0,19578.0
14726.0,19580.0
14698.0,19578.0
14707.0,19579.0
14704.0,19579.0
14754.0,19575.0
14791.0,19572.0
14838.0,19568.0
14888.0,19568.0
14861.0,19570.0
14827.0,19573.0
14772.0,19572.0
14736.0,19577.0
14713.0,19577.0
14707.0,19580.0
14705.0,19578.0
14695.0,19579.0
14708.0,19578.0
14710.0,19575.0
14718.0,19572.0
14748.0,19568.0
14753.0,19566.0
14754.0,19568.0
14778.0,19570.0
14804.0,19570.0
14781.0,19572.0
14748.0,19576.0
14720.0,19579.0
14696.0,19582.0
14680.0,19580.0
14676.0,19579.0
14700.0,19580.0
14709.0,19579.0
14722.0,19575.0
14784.0,19571.0
14830.0,19568.0
14862.0,19569.0
14852.0,19569.0
14801.0,19572.0
14779.0,19574.0
14750.0,19577.0
14724.0,19580.0
14707.0,19579.0
14724.0,19581.0
14696.0,19579.0
14723.0,19576.0
14745.0,19573.0
14782.0,19573.0
14849.0,19569.0
14854.0,19569.0
14858.0,19569.0
14801.0,19573.0
14772.0,19576.0
14739.0,19578.0
14712.0,19579.0
14705.0,19579.0
14714.0,19578.0
14716.0,19579.0
14740.0,19576.0
14763.0,19574.0
14823.0,19570.0
14872.0,19569.0
14880.0,19569.0
14847.0,19573.0
14809.0,19574.0
14748.0,19577.0
14724.0,19578.0
14709.0,19579.0
14698.0,19579.0
14719.0,19578.0
14720.0,19575.0
14766.0,19575.0
14815.0,19572.0
14858.0,19569.0
14874.0,19567.0
14859.0,19569.0
14800.0,19573.0
14762.0,19579.0
14724.0,19580.0
14713.0,19580.0
14714.0,19580.0
14712.0,19579.0
14716.0,19579.0
14749.0,19574.0
14772.0,19572.0
14831.0,19568.0
14862.0,19567.0
14870.0,19567.0
14828.0,19571.0
14778.0,19573.0
14741.0,19579.0
14720.0,19579.0
14709.0,19578.0
14699.0,19580.0
14708.0,19578.0
14722.0,19577.0
14742.0,19573.0
14798.0,19569.0
14833.0,19567.0
14881.0,19568.0
14876.0,19570.0
14834.0,19572.0
14790.0,19577.0
14736.0,19578.0
14706.0,19577.0
14718.0,19580.0
14737.0,19578.0
14717.0,19578.0
14737.0,19574.0
14783.0,19571.0
14843.0,19569.0
14866.0,19567.0
14871.0,19568.0
14828.0,19571.0
14779.0,19575.0
14751.0,19580.0
14701.0,19578.0
14688.0,19579.0
14699.0,19579.0
14723.0,19577.0
14730.0,19576.0
14769.0,19572.0
14808.0,19570.0
14845.0,19568.0
14861.0,19568.0
14814.0,19569.0
14770.0,19571.0
14722.0,19574.0
14705.0,19579.0
14720.0,19577.0
14705.0,19579.0
14703.0,19580.0
14719.0,19577.0
14723.0,19577.0
14734.0,19572.0
14787.0,19571.0
14813.0,19568.0
14823.0,19568.0
14828.0,19569.0
14820.0,19570.0
14776.0,19572.0
14737.0,19576.0
14713.0,19578.0
14697.0,19578.0
14688.0,19580.0
14690.0,19578.0
14681.0,19578.0
14700.0,19576.0
14741.0,19573.0
14788.0,19569.0
14842.0,19565.0
14871.0,19567.0
14851.0,19569.0
14821.0,19571.0
14776.0,19575.0
14740.0,19579.0
14700.0,19580.0
14694.0,19579.0
14703.0,19580.0
14708.0,19578.0
14738.0,19575.0
14760.0,19572.0
14816.0,19568.0
14844.0,19567.0
14872.0,19568.0
14849.0,19570.0
14805.0,19572.0
14756.0,19576.0
14727.0,19578.0
14707.0,19579.0
14700.0,19579.0
14706.0,19578.0
14711.0,19577.0
14745.0,19574.0
14759.0,19572.0
14811.0,19568.0
14857.0,19569.0
14854.0,19568.0
14833.0,19570.0
14784.0,19573.0
14750.0,19576.0
14709.0,19580.0
14703.0,19578.0
14700.0,19579.0
14693.0,19580.0
14712.0,19577.0
14749.0,19575.0
14780.0,19572.0
14844.0,19567.0
14883.0,19570.0
14866.0,19569.0
14836.0,19573.0
14796.0,19576.0
14743.0,19578.0
14710.0,19579.0
14709.0,19578.0
14722.0,19580.0
14729.0,19578.0
14740.0,19575.0
14796.0,19571.0
